Title,Year,Director,Show,Airdate,Air_order,Ebert_thumb,Siskel_thumb,Ebert_star,Siskel_star,Ebert_dog,Siskel_dog,Ebert_top,Siskel_top,note,Ebert_great,Video_link,Ebert_link,Siskel_link
One Flew Over the Cuckoo's Nest,1975,Milos Forman,Opening Soon,11/23/75,1,1,1,3,3.5,,,,,,rogerebert.com/reviews/great-movie-one-flew-over-the-cuckoos-nest-1975,youtu.be/eYtfUvhl4Zg,rogerebert.com/reviews/one-flew-over-the-cuckoos-nest-1975,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/81946819/
Sunday Too Far Away,1975,Ken Hannam,Opening Soon,11/23/75,2,1,1,,,,,,,,,youtu.be/eYtfUvhl4Zg,,
Self Service,1974,Bruno Bozzetto,Opening Soon,11/23/75,3,1,1,,,,,,,,,youtu.be/eYtfUvhl4Zg,,
The Promised Land,1975,Andrzej Wajda,Opening Soon,11/23/75,4,1,1,,,,,,,,,youtu.be/eYtfUvhl4Zg,,
Mister Quilp,1975,Michael Tuchner,Opening Soon,11/23/75,5,0,0,2.5,2.5,,,,,Both recommend it to kids more than themselves.,,youtu.be/eYtfUvhl4Zg,rogerebert.com/reviews/mr-quilp-1975,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/81946854/
Conduct Unbecoming,1975,Michael Anderson,Opening Soon,11/23/75,6,0,0,,2.5,,,,,,,youtu.be/eYtfUvhl4Zg,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/81946892/
Dog Day Afternoon,1975,Sidney Lumet,Opening Soon,11/23/75,7,1,1,3.5,4,,,1975 10,1975 04,,rogerebert.com/reviews/great-movie-dog-day-afternoon-1975,youtu.be/eYtfUvhl4Zg,rogerebert.com/reviews/dog-day-afternoon-1975,chicagotribune.newspapers.com/article/chicago-tribune-chicago-tribune-review/67182315/
Hearts of the West,1975,Howard Zieff,Opening Soon,11/23/75,8,1,1,3,3,,,,,,,youtu.be/eYtfUvhl4Zg,rogerebert.com/reviews/hearts-of-west-1975,chicagotribune.newspapers.com/article/chicago-tribune/114090600/
Lisztomania,1975,Ken Russell,Opening Soon,11/23/75,9,1,0,3,1,,1,,,,,youtu.be/eYtfUvhl4Zg,rogerebert.com/reviews/lisztomania-1975,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/81947076/
Mahogany,1975,Berry Gordy,Opening Soon,11/23/75,10,0,0,2,2.5,1,,,,,,youtu.be/eYtfUvhl4Zg,rogerebert.com/reviews/mahogany-1975,chicagotribune.newspapers.com/article/chicago-tribune/121975611/
Taxi Driver,1976,Martin Scorsese,Opening Soon,03/11/76,1,1,0,4,3,,,1976 02,1976 07,Siskel disapproved at first.,rogerebert.com/reviews/great-movie-taxi-driver-1976,youtu.be/bD2RhWCJkWk,rogerebert.com/reviews/taxi-driver-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/43629949/
The Man Who Would Be King,1975,Martin Scorsese,Opening Soon,03/11/76,2,1,1,4,4,,,,1976 10,,,youtu.be/Afmvf_nVTcY,rogerebert.com/reviews/the-man-who-would-be-king-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/43630055/
Hester Street,1976,Joan Micklin Silver,Opening Soon,03/11/76,3,1,1,,3,,,,,,,youtu.be/Afmvf_nVTcY,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/43630187/
The Devil Within Her,1975,Peter Sasdy,Opening Soon,03/11/76,4,0,,1.5,,1,,,,,,youtu.be/Afmvf_nVTcY,rogerebert.com/reviews/the-devil-within-her-1976,
The Story of Adele H,1975,Francois Truffaut,Opening Soon,03/11/76,4,1,0,4,2.5,,,,,,,youtu.be/Afmvf_nVTcY,rogerebert.com/reviews/the-story-of-adele-h-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-reviews-two/43630299/
Manson,1973,Robert Hendrickson and Laurence Merrick,Opening Soon,03/11/76,5,,0,,2,,1,,,,,youtu.be/Afmvf_nVTcY,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/88328476/
Shampoo,1975,Hal Ashby,Opening Soon,03/11/76,6,0,1,2.5,3,,,,,,,youtu.be/Afmvf_nVTcY,rogerebert.com/reviews/shampoo-1975,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/48070659/
A Star is Born,1976,Frank Pierson,Opening Soon,12/28/76,1,0,0,2.5,2.5,,,,,,,youtu.be/sTDakEBcjFU,rogerebert.com/reviews/a-star-is-born-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/43513472/
King Kong,1976,John Guillermin,Opening Soon,12/28/76,2,1,0,,2.5,,,,,,,youtu.be/sTDakEBcjFU,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/39104450/
The Seven-Per-Cent Solution,1976,Herbert Ross,Opening Soon,12/28/76,3,1,1,,4,,,,1976 09,RT records an Ebert 3.5. rogerebert.suntimes.com/apps/pbcs.dll/article?AID=/19761222/REVIEWS/612220301,,youtu.be/sTDakEBcjFU,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/43514961/
The Enforcer,1976,James Fargo,Opening Soon,12/28/76,4,1,0,3,2,,,,,,,youtu.be/sTDakEBcjFU,rogerebert.com/reviews/the-enforcer-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/39104841/
Network,1976,Sidney Lumet,Opening Soon,12/28/76,5,1,1,4,4,,,1976 05,1976 02,,rogerebert.com/reviews/great-movie-network-1976,youtu.be/sTDakEBcjFU,rogerebert.com/reviews/network-1976,
Rocky,1976,John G. Avildsen,Opening Soon,12/28/76,6,1,1,4,3,,,1976 07,,,,youtu.be/m1AH9kd4kY8,rogerebert.com/reviews/rocky-1976,chicagotribune.com/1999/10/15/the-movie-reviews/
Nickelodeon,1976,Peter Bogdanovich,Opening Soon,12/28/76,7,0,0,2,2,,,,,,,youtu.be/sTDakEBcjFU,rogerebert.com/reviews/nickelodeon-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/43514898/
Silver Streak,1976,Arthur Hiller,Opening Soon,12/28/76,8,1,0,,2,,,,,,,youtu.be/sTDakEBcjFU,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/39104217/
At the Earth's Core,1976,Kevin Connor,Opening Soon,12/28/76,9,0,,1,,1,,,,,,youtu.be/sTDakEBcjFU,rogerebert.com/reviews/at-the-earths-core-1976,
Ape,1976,Paul Leder,Opening Soon,12/28/76,10,,0,,1.5,,1,,1976 dog,,,youtu.be/sTDakEBcjFU,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/145153091/
The Shootist,1976,Don Siegel,Opening Soon,01/25/77,1,1,0,3.5,2.5,,,1976 10,,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/the-shootist-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/135229110/
Small Change,1976,Francois Truffaut,Opening Soon,01/25/77,2,1,1,4,4,,,1976 01,1976 04,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/small-change-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/135230049/
The Magic Flute,1975,Ingmar Bergman,Opening Soon,01/25/77,3,1,1,4,,,,1976 03,,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/the-magic-flute-1976,
The Clockmaker,1974,Bertrand Tavernier,Opening Soon,01/25/77,4,1,1,4,3,,,1976 04,,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/the-clockmaker-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/135229550/
Swept Away,1974,Lina Wertmuller,Opening Soon,01/25/77,5,1,1,4,3,,,1976 06,,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/swept-away-by-an-unusual-destiny-in-the-blue-sea-of-august-1976,chicagotribune.newspapers.com/article/chicago-tribune/106731893/
All the President's Men,1976,Alan J. Pakula,Opening Soon,01/25/77,6,1,1,3.5,4,,,1976 08,1976 01,,,youtu.be/MnOOJbTi4bI&pp=ygUcZWJlcnQgQWxsIHRoZSBQcmVzaWRlbnRzIE1lbg%3D%3D,rogerebert.com/reviews/all-the-presidents-men-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/53071992/
Silent Movie,1976,Mel Brooks,Opening Soon,01/25/77,7,1,1,4,3,,,1976 09,,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/silent-movie-1976,
Brothel Number 8,1974,Kei Kumai,Opening Soon,01/25/77,8,1,1,3,3.5,,,,1976 03,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/brothel-eight-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/135229847/
Stay Hungry,1976,Bob Rafelson,Opening Soon,01/25/77,9,1,1,3,3.5,,,,1976 05,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/stay-hungry-1976,chicagotribune.newspapers.com/article/chicago-tribune-stay-hungry-review/78437016/
Cousin Cousine,1975,Jean-Charles Tacchella,Opening Soon,01/25/77,10,1,1,3.5,4,,,,1976 06,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/cousin-cousine-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/135229749/
Buffalo Bill and the Indians,1976,Robert Altman,Opening Soon,01/25/77,11,0,1,,4,,,,1976 08,,,youtu.be/m5PVHPTq1Dk,,chicagotribune.newspapers.com/article/chicago-tribune/68582024/
Eat My Dust,1976,Charles B. Griffith,Opening Soon,01/25/77,12,0,,,,,,1976 dog,,,,youtu.be/m5PVHPTq1Dk,,
The Omen,1976,Richard Donner,Opening Soon,01/25/77,13,0,0,2.5,2.5,,,1976 dog,,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/the-omen-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/90652518/
Midway,1976,Jack Smight,Opening Soon,01/25/77,14,0,0,2.5,2.5,,,1976 dog,,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/midway-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/40156818/
Gable and Lombard,1976,Sidney J. Furie,Opening Soon,01/25/77,15,0,0,2,1.5,,,,1976 dog,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/gable-and-lombard-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/43629786/
Two-Minute Warning,1976,Larry Peerce,Opening Soon,01/25/77,16,0,0,1,2,,,,1976 dog,,,youtu.be/m5PVHPTq1Dk,rogerebert.com/reviews/two-minute-warning-1976,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-reviews-two/107940221/
The Goodbye Girl,1977,Herbert Ross,Sneak Previews,01/27/78,1,1,1,3,3,,,,,,,,rogerebert.com/reviews/the-goodbye-girl-1977,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/136997870/
The Choirboys,1977,Robert Aldrich,Sneak Previews,01/27/78,2,,0,,1,,,,,,,,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/136997606/
The Gauntlet,1977,Clint Eastwood,Sneak Previews,01/27/78,3,1,0,3,1.5,,,,,,,,rogerebert.com/reviews/the-gauntlet-1977,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/37475174/
Telefon,1977,Don Siegel,Sneak Previews,01/27/78,4,,1,,3,,,,,,,,,chicagotribune.newspapers.com/article/chicago-tribune/134556102/
The World's Greatest Lover,1977,Gene Wilder,Sneak Previews,01/27/78,5,,0,,2,,,,,,,,,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/136997433/
High Anxiety,1978,Mel Brooks,Sneak Previews,02/24/78,1,0,1,2.5,3,,,,,,,,rogerebert.com/reviews/high-anxiety-1978,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/87599944/
The Boys in Company C,1978,Sidney J. Furie,Sneak Previews,02/24/78,2,1,0,4,2.5,,,,,,,,rogerebert.com/reviews/the-boys-in-company-c-1978,chicagotribune.newspapers.com/article/chicago-tribune-gene-siskel-movie-review/87641166/
